family,family_display,config_label,config_display,num_runs,peak_mean,peak_std,final_mean,final_std,last5_mean,last5_std
v1,Minimal Micro-Communication Adapter,v1_detach,Minimal Adapter (Detach),1,0.8125,0.0,0.5625,0.0,0.475,0.0
v1,Minimal Micro-Communication Adapter,v1_end2end,Minimal Adapter (End-to-End),3,0.8125,0.05103103630798288,0.6458333333333334,0.15590239111558088,0.5625,0.04677071733467428
v2,Sharpened-Routing Micro-Communication Adapter,v2_fastcomm,Sharpened Routing + FastComm,1,0.75,0.0,0.375,0.0,0.525,0.0
v2,Sharpened-Routing Micro-Communication Adapter,v2_sharp,Sharpened Routing Adapter,1,0.8125,0.0,0.6875,0.0,0.6375,0.0
v2,Sharpened-Routing Micro-Communication Adapter,v2_sharp_soft,Soft Sharpened Routing Adapter,3,0.8541666666666666,0.02946278254943948,0.6666666666666666,0.02946278254943948,0.5833333333333334,0.05137011669140814
v3,Action-Intention Sharing Communication Model,v3_detach,Action Intention Sharing (Detach),1,0.8125,0.0,0.375,0.0,0.625,0.0
v3,Action-Intention Sharing Communication Model,v3_end2end,Action Intention Sharing (End-to-End),1,0.9375,0.0,0.5625,0.0,0.6,0.0
v3,Action-Intention Sharing Communication Model,v3_fusionboost,Action Intention Sharing + Fusion Boost,1,0.75,0.0,0.5625,0.0,0.525,0.0
v3,Action-Intention Sharing Communication Model,v3_gain,Action Intention Sharing + Gain Boost,1,0.75,0.0,0.25,0.0,0.4875,0.0
v3,Action-Intention Sharing Communication Model,v3_gatefloor,Action Intention Sharing + Gate Floor,1,0.8125,0.0,0.4375,0.0,0.5875,0.0
v4,Targeted Attack-Subspace Fusion Model,v4_base,Targeted Attack-Subspace Fusion,1,0.8125,0.0,0.75,0.0,0.6125,0.0
v4,Targeted Attack-Subspace Fusion Model,v4_softuse,Targeted Attack-Subspace Fusion (Soft Use),3,0.8541666666666666,0.07795119555779044,0.4375,0.15309310892394862,0.5041666666666667,0.08799463367476197
v5,Dual-Stream Attack-Movement Communication Model,v5_base,Dual-Stream Communication,1,0.875,0.0,0.875,0.0,0.6125,0.0
v5,Dual-Stream Attack-Movement Communication Model,v5_top1move,Dual-Stream + Top-1 Move Routing,1,0.75,0.0,0.4375,0.0,0.4875,0.0
v5,Dual-Stream Attack-Movement Communication Model,v5_top1move_softplus,Dual-Stream + Top-1 Move + Softplus,3,0.7708333333333334,0.07795119555779044,0.6875,0.13501543121683043,0.5875,0.02700308624336609
