family,family_display,config_label,config_display,seed,json_path,peak,final,last5,num_points,best_t_env
v1,Minimal Micro-Communication Adapter,v1_detach,Minimal Adapter (Detach),1,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_detach/2026-04-13_22-58-49_vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_detach_sc2_5m_vs_6m.json,0.8125,0.5625,0.475,15,140879.0
v1,Minimal Micro-Communication Adapter,v1_end2end,Minimal Adapter (End-to-End),1,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_end2end/2026-04-13_23-56-08_vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_end2end_sc2_5m_vs_6m.json,0.875,0.8125,0.625,15,40410.0
v1,Minimal Micro-Communication Adapter,v1_end2end,Minimal Adapter (End-to-End),2,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_end2end/2026-04-14_12-19-28_vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_end2end_sc2_5m_vs_6m.json,0.75,0.6875,0.5125,15,20307.0
v1,Minimal Micro-Communication Adapter,v1_end2end,Minimal Adapter (End-to-End),3,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_end2end/2026-04-14_12-42-28_vanilla_mappo_sc2_5m6m_microcomm_adapter_v1_end2end_sc2_5m_vs_6m.json,0.8125,0.4375,0.55,15,241187.0
v2,Sharpened-Routing Micro-Communication Adapter,v2_sharp,Sharpened Routing Adapter,1,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp/2026-04-14_13-21-52_vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_sc2_5m_vs_6m.json,0.8125,0.6875,0.6375,15,260938.0
v2,Sharpened-Routing Micro-Communication Adapter,v2_fastcomm,Sharpened Routing + FastComm,1,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_fastcomm/2026-04-14_13-47-58_vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_fastcomm_sc2_5m_vs_6m.json,0.75,0.375,0.525,15,40390.0
v2,Sharpened-Routing Micro-Communication Adapter,v2_sharp_soft,Soft Sharpened Routing Adapter,1,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_soft/2026-04-14_14-24-29_vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_soft_sc2_5m_vs_6m.json,0.875,0.625,0.65,15,260991.0
v2,Sharpened-Routing Micro-Communication Adapter,v2_sharp_soft,Soft Sharpened Routing Adapter,2,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_soft/2026-04-14_14-58-25_vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_soft_sc2_5m_vs_6m.json,0.8125,0.6875,0.575,15,180829.0
v2,Sharpened-Routing Micro-Communication Adapter,v2_sharp_soft,Soft Sharpened Routing Adapter,3,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_soft/2026-04-14_15-35-48_vanilla_mappo_sc2_5m6m_microcomm_adapter_v2_sharp_soft_sc2_5m_vs_6m.json,0.875,0.6875,0.525,15,40390.0
v3,Action-Intention Sharing Communication Model,v3_detach,Action Intention Sharing (Detach),1,results/sc2/5m_vs_6m/vanilla_mappo_sc2_5m6m_microcomm_adapter_v3_action_intent_detach/2026-04-14_17-11-27_vanilla_mappo_sc2_5m6m_microcomm_adapter_v3_action_intent_detach_sc2_5m_vs_6m.json,0.8125,0.375,0.625,15,221358.0
